predictor,analysis,standardized_slope,approximate_se,wald_ci95_low,wald_ci95_high,converged,omitted,family
nterm40_idr_fraction,leave one study out,-0.8835036433402226,,,,True,10.1038/s41598-019-51969-1,
nterm40_idr_fraction,leave one study out,-0.5332815106482426,,,,True,10.1002/mbo3.210,
nterm40_idr_fraction,leave one study out,-0.7327603748866957,,,,True,10.1002/mbo3.339,
nterm40_idr_fraction,leave one study out,-0.247742640183807,,,,True,10.1111/j.1365-2958.2009.06788.x,
nterm40_idr_fraction,within family,-0.2492368778014951,,,,True,,pore-forming
nterm40_idr_fraction,within family,0.30654216712744653,,,,True,,ColM-like
nterm40_idr_fraction,within family,-1.6898405403602044,,,,True,,nuclease
domain_charge_pH7,unadjusted,-0.6121341985614258,0.16882404544043128,-0.9430293276246711,-0.2812390694981805,True,,
domain_charge_pH7,adjusted for family,-0.4036770111611686,0.31193650563911623,-1.0150725622138363,0.20771853989149924,True,,
domain_charge_pH7,adjusted for assay_group,-0.07161668613261526,0.2025752624343024,-0.46866420050384794,0.32543082823861746,True,,
domain_charge_pH7,adjusted for family and assay_group,-0.29400297167963574,0.25026589975116487,-0.7845241351919189,0.1965181918326474,True,,
domain_charge_pH7,leave one study out,-0.633926151950104,,,,True,10.1016/j.febslet.2010.06.021,
domain_charge_pH7,leave one study out,-0.6296856976557429,,,,True,10.1371/journal.pone.0185782,
domain_charge_pH7,leave one study out,-0.621773595221759,,,,True,10.1371/journal.ppat.1003199,
domain_charge_pH7,leave one study out,-0.6232827625934497,,,,True,10.1371/journal.ppat.1003898,
domain_charge_pH7,leave one study out,-0.5985737084408349,,,,True,10.1074/jbc.M112.400150,
domain_charge_pH7,leave one study out,-0.7016962179320344,,,,True,10.1038/s41598-019-51969-1,
domain_charge_pH7,leave one study out,-0.3503687586484262,,,,True,10.1002/mbo3.210,
domain_charge_pH7,leave one study out,-0.7771268873217582,,,,True,10.1002/mbo3.339,
domain_charge_pH7,leave one study out,-0.17575627292805887,,,,True,10.1111/j.1365-2958.2009.06788.x,
domain_charge_pH7,within family,-0.07648583420480248,,,,True,,pore-forming
domain_charge_pH7,within family,-0.2758777514901856,,,,True,,ColM-like
domain_charge_pH7,within family,-0.33500245441569076,,,,True,,lectin-like
domain_charge_pH7,within family,-0.4821574267640208,,,,True,,nuclease
domain_gravy,unadjusted,0.3608269323339691,0.23804754293613922,-0.10574625182086372,0.827400116488802,True,,
domain_gravy,adjusted for family,0.4092988945691731,0.5867256356111119,-0.7406833512286062,1.5592811403669524,True,,
domain_gravy,adjusted for assay_group,-0.02790485964419072,0.19165641421772173,-0.40355143151092526,0.34774171222254385,True,,
domain_gravy,adjusted for family and assay_group,0.07326276146577032,0.5219741106890334,-0.9498064954847352,1.096332018416276,True,,
domain_gravy,leave one study out,0.3420959607706817,,,,True,10.1016/j.febslet.2010.06.021,
domain_gravy,leave one study out,0.3864643113419469,,,,True,10.1371/journal.pone.0185782,
domain_gravy,leave one study out,0.39422905556206156,,,,True,10.1371/journal.ppat.1003199,
domain_gravy,leave one study out,0.3657388674505505,,,,True,10.1371/journal.ppat.1003898,
domain_gravy,leave one study out,0.35517750276615173,,,,True,10.1074/jbc.M112.400150,
domain_gravy,leave one study out,0.48641195900663525,,,,True,10.1038/s41598-019-51969-1,
domain_gravy,leave one study out,0.24060738674129553,,,,True,10.1002/mbo3.210,
domain_gravy,leave one study out,0.6143723703240347,,,,True,10.1002/mbo3.339,
domain_gravy,leave one study out,-0.4810940369432703,,,,True,10.1111/j.1365-2958.2009.06788.x,
domain_gravy,within family,-0.15756988747652317,,,,True,,pore-forming
domain_gravy,within family,0.27630160726790587,,,,True,,ColM-like
domain_gravy,within family,-0.11106399213328831,,,,True,,lectin-like
domain_gravy,within family,0.6328623656869944,,,,True,,nuclease
