predictor,n_records,n_proteins,n_exact,n_interval,n_right_censored,standardized_slope,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_p,raw_slope,predictor_mean,predictor_sd,residual_sigma,negative_log_likelihood,bootstrap_successes,fdr_q
length_aa,47,22,35,8,4,-0.559510100510891,-0.91720588674071,-0.0355332423240574,0.032,-0.0041144428967372,417.1818181818182,135.986843068009,1.070548128662849,78.87613393955691,1000,0.048
domain_length_aa,47,22,35,8,4,0.2222046379503159,-0.4360806474793892,0.6869872040255188,0.426,0.005249066972259,152.27272727272728,42.33221620616643,1.1636871773379092,82.51781935300224,1000,0.426
idr_fraction,47,22,35,8,4,-0.766945741272153,-1.0481694325987447,-0.3295062496850669,0.0,-3.118960836887934,0.2505582911907943,0.2458978427050091,0.9806324483954244,75.22220775954052,1000,0.0
nterm40_idr_fraction,47,22,35,8,4,-0.7363246208321422,-0.9840055324563826,-0.4078432139820598,0.0,-1.7656854557085389,0.4636363636363637,0.4170191346661277,0.980154205593048,75.18366214518458,1000,0.0
domain_charge_pH7,47,22,35,8,4,-0.6121341985614258,-0.9485174540275452,-0.0960532265244683,0.026,-0.1441039178101535,2.011448349771568,4.2478664554274514,1.0390659000452838,77.57104505747253,1000,0.048
domain_gravy,47,22,35,8,4,0.3608269323339691,-0.5151639654510275,0.9195479092483294,0.362,0.6896965662764146,-0.395890342628326,0.5231676507859515,1.1585220587071865,82.41100485827081,1000,0.426
