predictor,n_proteins,standardized_slope,ci95_low,ci95_high,p_value,r_squared
length_aa,14,0.46831513997581364,-0.5521853529434446,1.488815632895072,0.3684173789604449,0.31943470363644033
domain_length_aa,14,-0.3894397654917046,-1.1825105244328007,0.4036309934493915,0.3358255308791498,0.22089520578536648
idr_fraction,14,0.17306140846412263,-0.8907368154834048,1.23685963241165,0.7498387896549839,0.043622059720630935
nterm40_idr_fraction,14,-0.10197691766049347,-0.4819835956380306,0.27802976031704363,0.5989109281392284,0.015146401398485887
domain_charge_pH7,14,0.13024979457621266,-0.7532740426477305,1.0137736318001558,0.7726277010919196,0.02470926312896704
domain_gravy,14,-0.582971510514112,-1.6392941450006835,0.4733511239724595,0.27939470208911077,0.49499448844729255
