predictor,omission_type,omitted,n_records,n_proteins,standardized_slope,p_value
nterm40_idr_fraction,bacteriocin,Syringacin M,34,13,-0.13708874314154354,0.3960556123322967
nterm40_idr_fraction,bacteriocin,KpneA,34,13,-0.08980162923747215,0.6152505235700423
nterm40_idr_fraction,bacteriocin,KaerA,34,13,0.04264520100300317,0.8670077190554727
nterm40_idr_fraction,bacteriocin,KvarIa,34,13,-0.07263116129581035,0.8440626288528471
nterm40_idr_fraction,bacteriocin,KvarM,33,13,-0.1252568243346382,0.4296479642739385
nterm40_idr_fraction,bacteriocin,KpneM,33,13,-0.09448055772152966,0.5962555670264833
nterm40_idr_fraction,bacteriocin,KpneM2,34,13,-0.09618031038875273,0.5615616212931891
nterm40_idr_fraction,bacteriocin,Pyocin L2,29,13,-0.07275316894712484,0.675153427978427
nterm40_idr_fraction,bacteriocin,Pyocin L3,29,13,-0.10800989883786015,0.5137393297926893
nterm40_idr_fraction,bacteriocin,Pyocin S6,34,13,-0.1255184543360559,0.3767660487525919
nterm40_idr_fraction,doi,10.1016/j.febslet.2010.06.021,34,14,-0.11271415577660901,0.44553935057834215
nterm40_idr_fraction,doi,10.1371/journal.pone.0185782,33,13,-0.08490415464822199,0.6424320247019639
nterm40_idr_fraction,doi,10.1371/journal.ppat.1003199,34,13,-0.11679665819229772,0.4650441058522
nterm40_idr_fraction,doi,10.1371/journal.ppat.1003898,33,14,-0.1064775787082641,0.5072544695916883
nterm40_idr_fraction,doi,10.1074/jbc.M112.400150,34,13,-0.13708874314154354,0.3960556123322967
nterm40_idr_fraction,doi,10.1038/s41598-019-51969-1,27,8,0.26505286903798314,0.6218487292224384
nterm40_idr_fraction,doi,10.1002/mbo3.210,16,12,-0.030655667204065797,0.8887024706576876
nterm40_idr_fraction,doi,10.1002/mbo3.339,34,13,-0.1255184543360559,0.3767660487525919
domain_charge_pH7,bacteriocin,Pyocin S5,33,13,-0.002649665632495844,0.9939817717124652
domain_charge_pH7,bacteriocin,PaeM4,34,13,0.014876025854353742,0.9653393914853624
domain_charge_pH7,bacteriocin,LlpA BW11M1,34,13,0.01976625980728358,0.9501153298327435
domain_charge_pH7,bacteriocin,Pyocin L1,26,13,0.015983240194357373,0.9585044633070222
domain_charge_pH7,bacteriocin,Syringacin M,34,13,0.021055996682223604,0.9436910854050641
domain_charge_pH7,bacteriocin,KpneA,34,13,0.04323355770201076,0.8988377573997264
domain_charge_pH7,bacteriocin,KaerA,34,13,0.08446692109277745,0.8025560144439732
domain_charge_pH7,bacteriocin,KvarIa,34,13,0.019495054051548916,0.9531316550048821
domain_charge_pH7,bacteriocin,KvarM,33,13,0.10687189797044493,0.7736294065208469
domain_charge_pH7,bacteriocin,KpneM,33,13,0.004410038408137899,0.9885333709545222
domain_charge_pH7,bacteriocin,KpneM2,34,13,0.009269437212554715,0.9772111594718043
domain_charge_pH7,bacteriocin,Pyocin L2,29,13,0.047024474470448524,0.8810825443521685
