analysis,outcome,predictor,n_records,n_proteins,slope,hc3_se,ci95_low,ci95_high,hc3_p,r_squared,spearman_rho,spearman_p
primary_all_source_defined_mics,log10_mic_ug_ml,motif_length_aa,15,11,-0.0017519213183066031,0.005612498464015528,-0.01387698708441131,0.010373144447798103,0.7598794654355658,0.009890539185189007,-0.21209420834101364,0.4479294738625341
one_record_per_protein_median,log10_mic_ug_ml,motif_length_aa,11,11,-0.004119499922588071,0.006339612478327727,-0.01846069969980202,0.010221699854625876,0.532052342648973,0.09458392128491366,-0.2277910237891026,0.5005338307078093
direct_mass_unit_reports,log10_mic_ug_ml,motif_length_aa,11,8,0.0059740004046184075,0.013122451484764637,-0.023711047215113853,0.035659048024350666,0.6597126572774595,0.05529934851149487,-0.011655296643009568,0.972868328434254
dilution_assay_subset,log10_mic_ug_ml,motif_length_aa,10,8,-0.004689136800740561,0.006947331470954129,-0.020709711901394822,0.0113314382999137,0.5187313984479175,0.08201934124999444,-0.30314868441617865,0.39451725960655937
secondary_molar_outcome,log10_mic_nM,motif_length_aa,15,11,-0.0023128164305482,0.00508586488846516,-0.01330015952659296,0.00867452666549656,0.6567872783411218,0.017968649764734557,-0.1094181405084617,0.697883289369604
